# id	zone_id	english_name	english_country	english_sort	chinese_name	chinese_country	chinese_sort	search_aliases
201000489	Asia/Istanbul	Istanbul	Turkey	Istanbul	伊斯坦布尔	土耳其	yi si tan bu er	istanbul | 伊斯坦布尔 istanbul yisitanbuer | ystbe | 斯坦布尔 sitanbuer 坦布尔 tanbuer 布尔 buer 尔 er | turkey | 土耳其 turkey tuerqi | teq | 耳其 erqi 其 qi
201000855	Africa/Abidjan	Abidjan	Cote d'Ivoire	Abidjan	阿比让	科特迪瓦	a bi rang	abidjan | 阿比让 abidjan abirang | abr | 比让 birang 让 rang | cote d'ivoire | 科特迪瓦 cote d'ivoire ketediwa | cd | ktdw | d'ivoire | 特迪瓦 tediwa 迪瓦 diwa 瓦 wa
201000730	Africa/Dakar	Dakar	Senegal	Dakar	达喀尔	塞内加尔	da ka er	dakar | 达喀尔 dakar dakaer | dke | 喀尔 kaer 尔 er | senegal | 塞内加尔 senegal saineijiaer | snje | 内加尔 neijiaer 加尔 jiaer 尔 er
201000858	Asia/Amman	Amman	Jordan	Amman	安曼	约旦	an man	amman | 安曼 amman anman | am | 曼 man | jordan | 约旦 jordan yuedan | yd | 旦 dan
201000914	Asia/Anadyr	Anadyr	Russia	Anadyr	阿纳德尔	俄罗斯	a na de er	anadyr | 阿纳德尔 anadyr anadeer | ande | 纳德尔 nadeer 德尔 deer 尔 er | russia | 俄罗斯 russia eluosi | els | 罗斯 luosi 斯 si
201000915	Asia/Aqtau	Aqtau	Kazakhstan	Aqtau	阿克套	哈萨克斯坦	a ke tao	aqtau | 阿克套 aqtau aketao | akt | 克套 ketao 套 tao | kazakhstan | 哈萨克斯坦 kazakhstan hasakesitan | hskst | 萨克斯坦 sakesitan 克斯坦 kesitan 斯坦 sitan 坦 tan
201000445	Asia/Baghdad	Baghdad	Iraq	Baghdad	巴格达	伊拉克	ba ge da	baghdad | 巴格达 baghdad bageda | bgd | 格达 geda 达 da | iraq | 伊拉克 iraq yilake | ylk | 拉克 lake 克 ke
201000916	Asia/Bahrain	Bahrain	Bahrain	Bahrain	巴林	巴林	ba lin	bahrain | 巴林 bahrain balin | bl | 林 lin
201000917	Asia/Baku	Baku	Azerbaijan	Baku	巴库	阿塞拜疆	ba ku	baku | 巴库 baku baku | bk | 库 ku | azerbaijan | 阿塞拜疆 azerbaijan asaibaijiang | asbj | 塞拜疆 saibaijiang 拜疆 baijiang 疆 jiang
201000544	Asia/Bangkok	Bangkok	Thailand	Bangkok	曼谷	泰国	man gu	bangkok | 曼谷 bangkok mangu | mg | 谷 gu | thailand | 泰国 thailand taiguo | tg | 国 guo
201000898	Asia/Beirut	Beirut	Lebanon	Beirut	贝鲁特	黎巴嫩	bei lu te	beirut | 贝鲁特 beirut beilute | blt | 鲁特 lute 特 te | lebanon | 黎巴嫩 lebanon libanen | lbn | 巴嫩 banen 嫩 nen
201000468	Asia/Damascus	Damascus	Syria	Damascus	大马士革	叙利亚	da ma shi ge	damascus | 大马士革 damascus damashige | dmsg | 马士革 mashige 士革 shige 革 ge | syria | 叙利亚 syria xuliya | xly | 利亚 liya 亚 ya
201000722	Africa/Dar_es_Salaam	Dar es Salaam	Tanzania	Dar es Salaam	达累斯萨拉姆	坦桑尼亚	da lei si sa la mu	dar es salaam | 达累斯萨拉姆 dar es salaam daleisisalamu | des | dlsslm | essalaam salaam | 累斯萨拉姆 leisisalamu 斯萨拉姆 sisalamu 萨拉姆 salamu 拉姆 lamu 姆 mu | tanzania | 坦桑尼亚 tanzania tansangniya | tsny | 桑尼亚 sangniya 尼亚 niya 亚 ya
201000748	Asia/Dhaka	Dhaka	Bangladesh	Dhaka	达卡	孟加拉国	da ka	dhaka | 达卡 dhaka daka | dk | 卡 ka | bangladesh | 孟加拉国 bangladesh mengjialaguo | mjlg | 加拉国 jialaguo 拉国 laguo 国 guo
201000918	Asia/Dubai	Dubai	United Arab Emirates	Dubai	迪拜	阿拉伯联合酋长国	di bai	dubai | 迪拜 dubai dibai | db | 拜 bai | united arab emirates | 阿拉伯联合酋长国 united arab emirates alabolianheqiuzhangguo | uae | alblhqzg | arabemirates emirates | 拉伯联合酋长国 labolianheqiuzhangguo 伯联合酋长国 bolianheqiuzhangguo 联合酋长国 lianheqiuzhangguo 合酋长国 heqiuzhangguo 酋长国 qiuzhangguo 长国 zhangguo 国 guo
201000919	Asia/Gaza	Gaza	Palestine Territories	Gaza	加沙	巴勒斯坦	jia sha	gaza | 加沙 gaza jiasha | js | 沙 sha | palestine territories | 巴勒斯坦 palestine territories balesitan | pt | blst | territories | 勒斯坦 lesitan 斯坦 sitan 坦 tan
